league_id,league_name,year,draft_type,num_teams,scoring_type,roster_size,num_starters,num_bench,ppr_points,keepers,num_rostered_qb,num_rostered_rb,num_rostered_rb_wr,num_rostered_wr,num_rostered_te,num_rostered_d_st,num_rostered_k,num_rostered_be,num_rostered_rb_wr_te,num_rostered_ir,num_rostered_wr_te,num_rostered_dt,num_rostered_de,num_rostered_lb,num_rostered_edr,num_rostered_cb,num_rostered_s,num_rostered_dp,num_rostered_p,num_rostered_hc,num_rostered_op,num_rostered_dl,num_rostered_db
626436,Rave Fam Fantasy Football League,2017,draft,10,head_to_head_points,17,9,8,0.5,0,1,2,0,2,1,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626438,The One With The Football,2017,draft,12,head_to_head_points,16,9,7,0,1,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626441,HFL,2017,draft,10,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626445,Three Mile Island,2017,draft,10,head_to_head_points,17,9,8,1,1,1,2,1,2,1,1,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626450,KINGS FOOTBALL LEAGUE OF BSPN,2017,draft,10,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626460,Penndel Fantasy Football,2017,draft,12,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626464,Ultimate Fantasy Football League,2017,draft,10,head_to_head_points,17,10,7,0,0,1,2,1,2,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
626468,Detroit PPR 626468,2017,draft,10,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626473,Benckeser Famtasy Football!!,2017,draft,8,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626491,LebanonHills1,2017,draft,14,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
626492,Alpaca Bowl,2017,draft,12,head_to_head_points,15,9,6,0,0,1,2,0,2,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626498,Caplugs 2,2017,draft,12,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626500,101st RQS,2017,draft,14,head_to_head_points,16,9,7,1,2,1,2,0,2,1,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626506,Kansas City PPR 626506,2017,draft,10,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626510,Detroit 626510,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626511,Backyard Heroes,2017,draft,12,head_to_head_points,17,9,8,1,2,1,2,0,2,1,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626514,NFL,2017,draft,10,head_to_head_points,15,9,6,0,0,1,2,1,2,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626515,SHIVA BOWL IV,2017,draft,10,head_to_head_points,16,9,7,0.5,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626517,The Gambling Horsemen,2017,draft,10,head_to_head_points,16,8,8,1,0,1,1,1,1,0,1,1,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
626529,HARMONIZATION,2017,draft,12,head_to_head_points,16,9,7,0.5,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626532,Bredow Inc,2017,draft,12,head_to_head_points,16,9,7,0,0,1,2,1,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626535,Bad Call Brick,2017,draft,12,head_to_head_points,16,9,7,0.5,0,1,2,0,2,1,1,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
626559,My Tousins,2017,draft,8,head_to_head_points,16,9,7,0,1,1,2,1,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626560,Carolina PPR 626560,2017,draft,10,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626561,THE LEAGUE,2017,draft,12,head_to_head_points,16,9,7,0.5,0,1,2,0,2,1,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626565,New York 626565,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626573,DEGENERATES,2017,draft,10,head_to_head_points,18,9,9,0.5,0,1,2,0,2,1,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626590,The Flying Toads,2017,draft,12,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626601,Dynasty League,2017,draft,12,head_to_head_points,18,9,9,0.5,18,1,2,0,2,1,1,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626603,The Justice League and Kenneth,2017,draft,10,head_to_head_points,17,11,6,0.5,0,2,2,0,3,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626606,Trey Fantasy Football,2017,draft,10,head_to_head_points,17,9,8,1,0,1,2,0,2,1,1,1,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
626614,First Wives Club,2017,draft,12,head_to_head_points,14,9,5,1,0,1,2,0,2,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626617,Winning The Fight,2017,draft,12,head_to_head_points,16,10,6,1,0,1,2,1,2,1,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626618,Keeping Up With The Jones,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626619,KibblesAndVicks,2017,draft,13,head_to_head_points,17,10,7,1,0,1,2,0,2,1,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
626637,La Familia VII,2017,draft,14,head_to_head_points,13,9,4,0,0,1,2,1,2,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626650,Redemption is Sweet,2017,draft,16,head_to_head_points,14,9,5,1,0,1,1,0,2,1,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626654,SKR Fantasy Football,2017,draft,10,head_to_head_points,16,9,7,0.5,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626655,Division A GEICO FFL,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626657,The Konigsberg Killers,2017,draft,12,head_to_head_points,16,10,6,0,0,1,2,0,2,1,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626658,Bloss Fantasy,2017,draft,12,head_to_head_points,13,9,4,1,0,1,2,0,2,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626660,Browns Town,2017,draft,12,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
626663,Atlanta 626663,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626664,Cheviot Knights of Pythias,2017,draft,12,head_to_head_points,13,9,4,0,0,2,3,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
626669,Family Fantasy Football,2017,draft,12,head_to_head_points,15,10,5,0.75,0,1,2,0,3,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
